drug_query,nct_id,brief_title,overall_status,start_date,completion_date,phase,study_type,enrollment,conditions,lead_sponsor
exenatide,NCT00381342,Safety and Efficacy of Exenatide as Monotherapy,COMPLETED,,,PHASE3,INTERVENTIONAL,233,Type 2 Diabetes Mellitus,AstraZeneca
exenatide,NCT00855439,Evaluation of Exenatide in Patients With Diabetic Neuropathy,COMPLETED,,,NA,INTERVENTIONAL,46,Type 2 Diabetes Mellitus; Diabetic Peripheral Neuropathy,University of Michigan
exenatide,NCT03182231,GLP1-imaging Before and After Bariatric Surgery,UNKNOWN,2016-10-07,2023-07-01,"PHASE1, PHASE2",INTERVENTIONAL,12,"Diabetes Mellitus, Type 2; Bariatric Surgery Candidate",Radboud University Medical Center
exenatide,NCT01254123,Effect of Additional Treatment With EXenatide in Patients With an Acute Myocardial Infarction (the EXAMI Trial),UNKNOWN,,,PHASE3,INTERVENTIONAL,40,Patients With a First Acute Myocardial Infarction to be Treated With Primary Percutaneous Coronary Intervention (PCI).,"Amsterdam UMC, location VUmc"
exenatide,NCT02975297,Exenatide Once Weekly for Smoking Cessation,COMPLETED,,2020-01-03,"PHASE1, PHASE2",INTERVENTIONAL,84,Smoking Cessation,"The University of Texas Health Science Center, Houston"
exenatide,NCT01077323,A Retrospective Cohort Study of Acute Pancreatitis in Relation to Use of Exenatide and Other Antidiabetic Agents,COMPLETED,,,,OBSERVATIONAL,363766,Type 2 Diabetes (Treated With Exenatide or Other Oral Antidiabetic Therapies); Healthy Subjects (Treated With no Diabetes Therapies),AstraZeneca
exenatide,NCT02288273,Study to Evaluate the Effect of BYDUREON on 24-hour Glucose Control in Metformin Treated Patients With Type 2 Diabetes.,COMPLETED,,,PHASE4,INTERVENTIONAL,239,Type 2 Diabetes,AstraZeneca
exenatide,NCT01017302,A Study With RO5095932 in Patients With Type 2 Diabetes on Stable Metformin Therapy.,COMPLETED,,,PHASE1,INTERVENTIONAL,32,Diabetes Mellitus Type 2,Hoffmann-La Roche
exenatide,NCT02119819,A Study to Compare a New Drug for Type 2 Diabetes to Placebo and to a Treatment Already Available for Type 2 Diabetes,COMPLETED,,,PHASE2,INTERVENTIONAL,420,"Diabetes Mellitus, Type 2","OPKO Health, Inc."
exenatide,NCT06888167,Food (Poly)Phenol Metabotypes and Beta-cell Mass and Function.,RECRUITING,2024-10-14,2026-02-28,NA,INTERVENTIONAL,40,Healthy Volunteer,Azienda Ospedaliero-Universitaria di Parma
