generic_name,reaction,report_count,pct_serious,pct_hospitalization,pct_death,median_age,pct_female
albiglutide,Cardiac failure congestive,4,1.0,0.5,0.0,61.5,0.75
albiglutide,Cataract,4,0.25,0.0,0.0,61.0,0.75
albiglutide,Chronic kidney disease,4,1.0,0.5,0.0,64.5,0.5
albiglutide,Cognitive disorder,4,0.25,0.25,0.0,74.5,0.75
albiglutide,Decreased activity,4,0.0,0.0,0.0,65.0,0.5
albiglutide,Diabetic ketoacidosis,4,1.0,0.5,0.0,62.0,0.5
albiglutide,Disturbance in attention,4,0.0,0.0,0.0,52.5,0.75
albiglutide,Drug intolerance,4,0.0,0.0,0.0,,0.5
albiglutide,Energy increased,4,0.0,0.0,0.0,56.0,1.0
albiglutide,Feeling cold,4,0.75,0.25,0.0,58.0,0.75
albiglutide,Feeling jittery,4,0.0,0.0,0.0,65.0,0.75
albiglutide,Frequent bowel movements,4,0.0,0.0,0.0,58.0,0.75
albiglutide,Hepatic enzyme increased,4,0.5,0.25,0.0,62.5,0.5
albiglutide,Hepatomegaly,4,0.75,0.75,0.0,48.0,0.75
albiglutide,Hypersomnia,4,0.25,0.0,0.0,70.0,0.5
albiglutide,Hypotension,4,1.0,1.0,0.0,56.5,0.75
albiglutide,Impaired gastric emptying,4,1.0,0.5,0.0,40.0,0.75
albiglutide,Impaired work ability,4,0.5,0.0,0.0,58.0,0.5
albiglutide,Infection,4,0.5,0.25,0.0,59.0,0.25
albiglutide,Knee arthroplasty,4,1.0,0.75,0.0,72.0,1.0
albiglutide,Laboratory test abnormal,4,0.25,0.0,0.0,49.0,0.5
albiglutide,Laceration,4,0.0,0.0,0.0,59.0,0.75
albiglutide,Limb discomfort,4,0.0,0.0,0.0,68.5,0.75
albiglutide,Lip swelling,4,0.0,0.0,0.0,54.5,0.75
albiglutide,Medical device complication,4,0.0,0.0,0.0,49.0,0.75
albiglutide,Mood altered,4,0.25,0.0,0.0,73.0,0.5
albiglutide,Neuropathy peripheral,4,0.25,0.25,0.0,58.0,0.75
albiglutide,Poor quality sleep,4,0.0,0.0,0.0,50.0,1.0
albiglutide,Productive cough,4,0.0,0.0,0.0,64.0,0.5
albiglutide,Sensory disturbance,4,0.0,0.0,0.0,59.0,0.25
albiglutide,Sluggishness,4,0.0,0.0,0.0,59.0,1.0
albiglutide,Speech disorder,4,0.5,0.0,0.0,71.0,0.25
albiglutide,Swelling,4,0.0,0.0,0.0,45.0,0.75
albiglutide,Therapeutic response decreased,4,0.0,0.0,0.0,49.0,1.0
albiglutide,Viral infection,4,0.0,0.0,0.0,58.5,0.75
albiglutide,Wound,4,0.75,0.5,0.0,58.0,0.25
albiglutide,Wrong technique in device usage process,4,0.0,0.0,0.0,61.5,0.5
albiglutide,Abnormal dreams,3,0.0,0.0,0.0,50.0,1.0
albiglutide,Acute pulmonary oedema,3,1.0,1.0,0.0,62.0,1.0
albiglutide,Arthritis,3,0.3333,0.3333,0.0,62.0,0.6667
albiglutide,Arthropod bite,3,0.0,0.0,0.0,65.0,0.6667
albiglutide,Binge eating,3,0.0,0.0,0.0,60.0,0.6667
albiglutide,Blood cholesterol increased,3,0.3333,0.0,0.0,63.0,0.6667
albiglutide,Blood potassium decreased,3,1.0,0.3333,0.0,58.0,0.0
albiglutide,Blood pressure increased,3,0.0,0.0,0.0,81.0,0.6667
albiglutide,Blood urea increased,3,1.0,0.3333,0.0,55.0,1.0
albiglutide,Breast tenderness,3,0.0,0.0,0.0,,1.0
albiglutide,Cold sweat,3,1.0,0.3333,0.0,55.0,1.0
albiglutide,Cystitis,3,0.3333,0.0,0.0,74.0,1.0
albiglutide,Dermatitis allergic,3,0.0,0.0,0.0,42.0,0.6667
albiglutide,Device defective,3,0.0,0.0,0.0,,0.6667
albiglutide,Diabetes mellitus,3,1.0,0.0,0.0,55.0,1.0
albiglutide,Diabetic retinopathy,3,1.0,0.0,0.0,66.0,0.6667
albiglutide,Diverticulitis,3,1.0,0.3333,0.0,60.0,1.0
albiglutide,Drug effect incomplete,3,0.0,0.0,0.0,62.0,0.3333
albiglutide,Exposure during pregnancy,3,0.3333,0.0,0.0,33.0,1.0
albiglutide,Eye pruritus,3,0.0,0.0,0.0,55.0,0.3333
albiglutide,Eye swelling,3,0.3333,0.0,0.0,61.0,0.6667
albiglutide,Fluid overload,3,1.0,0.3333,0.0,55.0,1.0
albiglutide,Gastrointestinal carcinoma,3,1.0,0.0,0.0,66.0,1.0
albiglutide,Gastrointestinal sounds abnormal,3,0.0,0.0,0.0,,0.0
albiglutide,Glycosylated haemoglobin decreased,3,0.3333,0.3333,0.0,,0.6667
albiglutide,Haematoma,3,0.0,0.0,0.0,64.0,0.3333
albiglutide,Hepatic steatosis,3,1.0,0.0,0.0,55.0,0.6667
albiglutide,Hepatobiliary cancer,3,1.0,0.0,0.0,66.0,1.0
albiglutide,Herpes zoster,3,0.3333,0.0,0.0,62.5,0.3333
albiglutide,Hypothyroidism,3,0.0,0.0,0.0,55.0,1.0
albiglutide,Injection site cellulitis,3,0.3333,0.0,0.0,64.0,0.3333
albiglutide,Laryngitis,3,0.0,0.0,0.0,45.0,0.6667
albiglutide,Liver function test abnormal,3,0.0,0.0,0.0,57.0,0.3333
albiglutide,Meniere^s disease,3,1.0,0.0,0.0,45.0,0.3333
albiglutide,Multiple allergies,3,0.3333,0.3333,0.0,,0.6667
albiglutide,Muscle tightness,3,0.3333,0.0,0.0,57.0,0.6667
albiglutide,Musculoskeletal chest pain,3,0.3333,0.0,0.0,60.0,1.0
albiglutide,Musculoskeletal stiffness,3,0.0,0.0,0.0,,0.3333
albiglutide,Neoplasm malignant,3,1.0,0.0,0.0,62.0,1.0
albiglutide,Nightmare,3,0.0,0.0,0.0,55.0,0.6667
albiglutide,Oedema peripheral,3,0.3333,0.3333,0.0,49.5,0.6667
albiglutide,Pain in jaw,3,0.0,0.0,0.0,65.0,0.3333
albiglutide,Pancreatic carcinoma metastatic,3,1.0,0.0,0.0,66.0,1.0
albiglutide,Pancreatic disorder,3,0.3333,0.0,0.0,64.0,0.6667
albiglutide,Panic reaction,3,0.0,0.0,0.0,52.0,1.0
albiglutide,Peripheral coldness,3,0.6667,0.0,0.0,62.0,1.0
albiglutide,Platelet count decreased,3,0.6667,0.6667,0.0,71.0,1.0
albiglutide,Product packaging issue,3,0.0,0.0,0.0,66.0,0.0
albiglutide,Product physical issue,3,0.0,0.0,0.0,60.5,0.3333
albiglutide,Pruritus generalised,3,0.0,0.0,0.0,74.5,1.0
albiglutide,Renal disorder,3,0.0,0.0,0.0,57.0,0.0
albiglutide,Respiratory tract congestion,3,0.0,0.0,0.0,54.5,0.3333
albiglutide,Sneezing,3,0.0,0.0,0.0,64.0,0.6667
albiglutide,Spinal operation,3,1.0,0.0,0.0,61.0,0.3333
albiglutide,Thinking abnormal,3,0.0,0.0,0.0,68.0,1.0
albiglutide,Thyroid neoplasm,3,0.3333,0.0,0.0,52.0,1.0
albiglutide,Toothache,3,0.3333,0.0,0.0,65.0,1.0
albiglutide,Unevaluable event,3,0.3333,0.0,0.0,49.0,0.6667
albiglutide,Vertigo,3,0.0,0.0,0.0,59.0,0.6667
albiglutide,Vulvovaginal pruritus,3,0.3333,0.0,0.0,69.0,1.0
albiglutide,Weight fluctuation,3,0.3333,0.3333,0.0,54.0,0.0
albiglutide,Wheezing,3,0.6667,0.0,0.0,63.0,0.6667
albiglutide,Abasia,2,1.0,0.0,0.0,54.0,0.5
albiglutide,Abdominal rebound tenderness,2,1.0,0.0,0.0,55.0,1.0
albiglutide,Accident at work,2,0.5,0.0,0.0,63.0,0.5
albiglutide,Activities of daily living impaired,2,0.5,0.5,0.0,73.5,0.5
albiglutide,Adenocarcinoma,2,1.0,0.0,0.0,66.0,1.0
albiglutide,Ageusia,2,0.5,0.0,0.0,60.5,0.0
albiglutide,Agitation,2,0.0,0.0,0.0,64.0,0.5
albiglutide,Altered state of consciousness,2,1.0,0.5,0.0,59.0,0.5
albiglutide,Amylase increased,2,0.5,0.5,0.5,35.0,0.0
albiglutide,Angioedema,2,1.0,1.0,0.0,56.5,0.5
albiglutide,Apathy,2,0.0,0.0,0.0,54.5,0.0
albiglutide,Apnoea,2,1.0,0.0,0.0,55.0,1.0
albiglutide,Apparent death,2,1.0,1.0,0.0,59.0,0.5
albiglutide,Autoimmune disorder,2,1.0,0.0,0.0,55.0,1.0
albiglutide,Autoimmune thyroiditis,2,1.0,0.0,0.0,55.0,1.0
albiglutide,Back injury,2,0.0,0.0,0.0,56.0,0.0
albiglutide,Blindness,2,1.0,0.0,0.0,71.0,1.0
albiglutide,Blood bilirubin abnormal,2,1.0,0.0,0.0,55.0,1.0
albiglutide,Blood test abnormal,2,0.5,0.5,0.0,68.0,0.5
albiglutide,Blood triglycerides increased,2,0.5,0.0,0.0,50.5,0.0
albiglutide,Carbohydrate antigen 19-9 increased,2,1.0,0.0,0.0,66.0,1.0
albiglutide,Cellulitis,2,1.0,0.0,0.0,45.0,1.0
albiglutide,Cerebral disorder,2,0.0,0.0,0.0,,0.5
albiglutide,Change of bowel habit,2,0.0,0.0,0.0,40.0,0.0
albiglutide,Cholecystectomy,2,1.0,0.5,0.0,66.0,1.0
albiglutide,Chronic obstructive pulmonary disease,2,0.0,0.0,0.0,49.0,0.5
albiglutide,Colectomy,2,1.0,0.0,0.0,62.0,1.0
albiglutide,Colon cancer,2,1.0,0.0,0.0,62.0,1.0
albiglutide,Colon operation,2,1.0,0.0,0.0,62.0,1.0
albiglutide,Colonoscopy,2,1.0,0.0,0.0,62.0,1.0
albiglutide,Contraindication to medical treatment,2,0.0,0.0,0.0,73.0,0.5
albiglutide,Corrective lens user,2,0.0,0.0,0.0,53.5,1.0
albiglutide,Death,2,1.0,0.0,1.0,57.0,1.0
albiglutide,Dermatitis,2,0.0,0.0,0.0,,0.5
albiglutide,Device damage,2,0.0,0.0,0.0,57.0,0.0
albiglutide,Device use issue,2,0.0,0.0,0.0,49.0,0.5
albiglutide,Diabetic neuropathy,2,0.5,0.0,0.0,,0.5
albiglutide,Diabetic ulcer,2,1.0,0.5,0.0,49.0,0.0
albiglutide,Dialysis,2,1.0,1.0,0.0,63.0,0.5
albiglutide,Diplopia,2,0.0,0.0,0.0,61.0,0.5
albiglutide,Disability,2,1.0,0.5,0.0,63.0,0.0
albiglutide,Disorientation,2,0.0,0.0,0.0,,1.0
albiglutide,Drug administered at inappropriate site,2,0.0,0.0,0.0,46.5,0.5
albiglutide,Dry skin,2,0.5,0.0,0.0,42.0,1.0
albiglutide,Dry throat,2,0.0,0.0,0.0,58.0,1.0
albiglutide,Dysarthria,2,0.0,0.0,0.0,60.0,0.5
albiglutide,Dyspnoea exertional,2,0.5,0.0,0.0,68.0,0.5
albiglutide,Ear discomfort,2,0.5,0.0,0.0,66.0,1.0
albiglutide,Early satiety,2,0.0,0.0,0.0,53.0,0.5
albiglutide,Eating disorder,2,0.0,0.0,0.0,64.0,0.5
